test,duration_s,cpu_workers,memory_mb,io_files,errors,warnings,completed,ownership,notes
cpu_stress,600,1,0,0,0,0,PASS,yes,exact-tid-ownership-confirmed
mem_stress,0,0,8120,0,0,0,BLOCKED_OWNERSHIP_NOT_PROVEN,not_proven,child-worker-identities-unavailable
io_stress,600,0,0,1,0,0,PASS,yes,exact-tid-ownership-confirmed
mixed,600,1,0,0,0,0,PASS,yes,exact-tid-ownership-confirmed
health_check,0,0,0,0,0,0,PASS,not_applicable,sorted-dmesg-delta
