scheduler,workload,workers,duration_s,elapsed_ms,ctx_delta,accepted,dispatched,running,effective,owned,notes
cfs,cpu,1,2,2083,15501,0,0,0,0,n/a,completed
cfs,cpu,2,2,2022,16280,0,0,0,0,n/a,completed
cfs,cpu,4,2,1926,13676,0,0,0,0,n/a,completed
