scheduler,workload,workers,duration_s,elapsed_ms,ctx_delta,accepted,dispatched,running,effective,owned,notes
cfs,cpu,1,2,2030,14730,0,0,0,0,n/a,completed
cfs,cpu,2,2,1862,13152,0,0,0,0,n/a,completed
cfs,cpu,4,2,1935,17610,0,0,0,0,n/a,completed
