timestamp,zone,type,temp_mC,critical_mC
2026-08-28T21:54:32+05:30,thermal_zone0,acpitz,48000,128000
2026-08-28T21:54:32+05:30,thermal_zone1,pch_cannonlake,55000,120000
2026-08-28T21:54:32+05:30,thermal_zone2,INT3400 Thermal,20000,0
2026-08-28T21:54:32+05:30,thermal_zone3,SEN1,1050,103050
2026-08-28T21:54:32+05:30,thermal_zone4,SEN2,41050,80050
2026-08-28T21:54:32+05:30,thermal_zone5,B0D4,48050,110050
2026-08-28T21:54:32+05:30,thermal_zone6,iwlwifi_1,55000,0
2026-08-28T21:54:32+05:30,thermal_zone7,x86_pkg_temp,83000,0
2026-08-28T21:54:33+05:30,thermal_zone0,acpitz,48000,128000
2026-08-28T21:54:33+05:30,thermal_zone1,pch_cannonlake,55000,120000
2026-08-28T21:54:33+05:30,thermal_zone2,INT3400 Thermal,20000,0
2026-08-28T21:54:33+05:30,thermal_zone3,SEN1,1050,103050
2026-08-28T21:54:33+05:30,thermal_zone4,SEN2,42050,80050
2026-08-28T21:54:33+05:30,thermal_zone5,B0D4,48050,110050
2026-08-28T21:54:33+05:30,thermal_zone6,iwlwifi_1,55000,0
2026-08-28T21:54:33+05:30,thermal_zone7,x86_pkg_temp,93000,0
2026-08-28T21:54:34+05:30,thermal_zone0,acpitz,48000,128000
2026-08-28T21:54:34+05:30,thermal_zone1,pch_cannonlake,56000,120000
2026-08-28T21:54:34+05:30,thermal_zone2,INT3400 Thermal,20000,0
2026-08-28T21:54:34+05:30,thermal_zone3,SEN1,1050,103050
2026-08-28T21:54:34+05:30,thermal_zone4,SEN2,42050,80050
2026-08-28T21:54:34+05:30,thermal_zone5,B0D4,48050,110050
2026-08-28T21:54:34+05:30,thermal_zone6,iwlwifi_1,55000,0
2026-08-28T21:54:34+05:30,thermal_zone7,x86_pkg_temp,68000,0
2026-08-28T21:54:36+05:30,thermal_zone0,acpitz,48000,128000
2026-08-28T21:54:36+05:30,thermal_zone1,pch_cannonlake,55000,120000
2026-08-28T21:54:36+05:30,thermal_zone2,INT3400 Thermal,20000,0
2026-08-28T21:54:36+05:30,thermal_zone3,SEN1,1050,103050
2026-08-28T21:54:36+05:30,thermal_zone4,SEN2,42050,80050
2026-08-28T21:54:36+05:30,thermal_zone5,B0D4,48050,110050
2026-08-28T21:54:36+05:30,thermal_zone6,iwlwifi_1,55000,0
2026-08-28T21:54:36+05:30,thermal_zone7,x86_pkg_temp,65000,0
2026-08-28T21:54:37+05:30,thermal_zone0,acpitz,48000,128000
2026-08-28T21:54:37+05:30,thermal_zone1,pch_cannonlake,55000,120000
2026-08-28T21:54:37+05:30,thermal_zone2,INT3400 Thermal,20000,0
2026-08-28T21:54:37+05:30,thermal_zone3,SEN1,1050,103050
2026-08-28T21:54:37+05:30,thermal_zone4,SEN2,42050,80050
2026-08-28T21:54:37+05:30,thermal_zone5,B0D4,48050,110050
2026-08-28T21:54:37+05:30,thermal_zone6,iwlwifi_1,56000,0
2026-08-28T21:54:37+05:30,thermal_zone7,x86_pkg_temp,64000,0
2026-08-28T21:54:38+05:30,thermal_zone0,acpitz,48000,128000
2026-08-28T21:54:38+05:30,thermal_zone1,pch_cannonlake,54000,120000
2026-08-28T21:54:38+05:30,thermal_zone2,INT3400 Thermal,20000,0
2026-08-28T21:54:38+05:30,thermal_zone3,SEN1,1050,103050
2026-08-28T21:54:38+05:30,thermal_zone4,SEN2,42050,80050
2026-08-28T21:54:38+05:30,thermal_zone5,B0D4,48050,110050
2026-08-28T21:54:38+05:30,thermal_zone6,iwlwifi_1,57000,0
2026-08-28T21:54:38+05:30,thermal_zone7,x86_pkg_temp,65000,0
2026-08-28T21:54:39+05:30,thermal_zone0,acpitz,48000,128000
