tick,mode,cpu_now,cpu_pred,decision_cpu,prediction_used,confidence,forecast_error,frame_age_ms,mem,thermal,directive,run,sleep,migrate,throttle,yield,eligible_workers,fallback_workers,S1,S2,S3,S4,Q,jitter_sigma,switch_penalty,consensus_blend,next_jitter_sigma,next_switch_penalty,next_consensus_blend,controller_updated,controller_step,controller_reason,controller_beta,jitter_saturated,switch_saturated,consensus_saturated,consensus_applied,rejected_frames,missed_deadlines,metrics_schema,S3_global,S3_conditioned,S2_selected,S2_effective,action_attempt_count,effective_action_success_count,action_error_count,migration_attempt_count,migration_valid_requested_cpu_count,migration_affinity_success_count,migration_observed_success_count,migration_observed_success_fraction,sleep_attempt_count,sleep_effective_success_count,sleep_effectiveness_fraction,requested_sleep_ns_total,observed_sleep_ns_total,yield_attempt_count,yield_call_success_count,yield_call_success_fraction,throttle_attempt_count,throttle_operation_success_count,throttle_operation_success_fraction,fallback_fraction,fallback_reason,S4_burst,change_fraction,dominant_transition_fraction,justified_change_fraction,oscillation_penalty,dominant_old_action,dominant_new_action,changed_eligible_workers,justified_changed_workers,dominant_transition_count,rolling_window_burst_count,rolling_window_oscillation_count,current_directive_valid,previous_directive_valid,directive_transition_valid,large_burst_event,repeated_oscillation_event,controller_state,previous_state,transition_reason,state_residence_time,valid_control_history_count,invalid_frame_fault_count,saturation_bitmask,saturation_direction,saturation_persistence,oscillation_score,oscillation_event,rollback_event,rollback_reason,recovery_progress,last_known_good_available,requested_jitter,applied_jitter,requested_switch,applied_switch,requested_consensus,applied_consensus,update_accepted,update_suppressed,suppression_reason,policy_mode,policy_schema_version,policy_generation,policy_update_allowed,policy_update_applied,policy_update_suppression_reason,policy_exploration_enabled,policy_train_update_count,policy_adapt_update_count,policy_load_status,policy_save_status,policy_digest_prefix,policy_format_version,coordination_semantics_version
11,orchestra,0.46153846,0.45556585,0.45556585,1,0.99594830,0.01357412,49.81422900,0.48626353,0.29134776,RUN,1,0,2,1,0,4,0,0.94331368,0.25000000,0.35398516,0.25000000,0.38008462,0.20000000,0.00000000,0.00000000,0.20000000,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,0.35398516,0.35398516,0.25000000,1.00000000,4,4,0,2,2,2,2,1.00000000,0,0,1.00000000,0,0,0,0,1.00000000,1,1,1.00000000,0.00000000,NONE,0.73333333,0.75000000,0.66666667,0.00000000,0.00000000,0,2,3,0,2,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.20000000,0.20000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
12,orchestra,0.35000000,0.39644897,0.39644897,1,0.78227320,0.10556585,49.80839600,0.48626353,0.29428037,RUN,4,0,0,0,0,4,0,0.51282807,1.00000000,1.00000000,0.25000000,0.59838121,0.20000000,0.00000000,0.00000000,0.20000000,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,1.00000000,1.00000000,1.00000000,1.00000000,4,4,0,0,0,0,0,1.00000000,0,0,1.00000000,0,0,0,0,1.00000000,0,0,1.00000000,0.00000000,NONE,0.73333333,0.75000000,0.66666667,0.00000000,0.00000000,2,0,3,0,2,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.20000000,0.20000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
13,orchestra,0.53846154,0.47597601,0.47597601,1,0.64122547,0.14201257,49.82496900,0.48626353,0.30648943,RUN,4,0,0,0,0,4,0,0.36333704,1.00000000,1.00000000,1.00000000,0.77638550,0.20000000,0.00000000,0.00000000,0.20000000,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,1.00000000,1.00000000,1.00000000,1.00000000,4,4,0,0,0,0,0,1.00000000,0,0,1.00000000,0,0,0,0,1.00000000,0,0,1.00000000,0.00000000,NONE,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-1,-1,0,0,0,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.20000000,0.20000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
14,orchestra,0.56626506,0.52653788,0.52653788,1,0.83558397,0.09028905,49.82847800,0.48637139,0.31947821,RUN,3,0,0,1,0,4,0,0.58229352,0.75000000,0.65060153,0.75000000,0.67943027,0.20000000,0.00000000,0.00000000,0.20000000,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,0.65060153,0.65060153,0.75000000,1.00000000,4,4,0,0,0,0,0,1.00000000,0,0,1.00000000,0,0,0,0,1.00000000,1,1,1.00000000,0.00000000,NONE,1.00000000,0.25000000,1.00000000,0.00000000,0.00000000,0,3,1,0,1,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.20000000,0.20000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
15,orchestra,0.47500000,0.49767667,0.49767667,1,0.94315379,0.05153788,49.81978400,0.48525388,0.32725430,RUN,2,0,1,1,0,4,0,0.76745346,0.50000000,0.78466172,0.25000000,0.52379474,0.20000000,0.00000000,0.00000000,0.20000000,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,0.35398516,0.78466172,0.50000000,1.00000000,4,4,0,1,1,1,1,1.00000000,0,0,1.00000000,0,0,0,0,1.00000000,1,1,1.00000000,0.00000000,NONE,0.86666667,0.75000000,0.33333333,0.00000000,0.00000000,0,2,3,0,1,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.20000000,0.20000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
16,orchestra,0.50649351,0.50261410,0.50261410,1,0.99828861,0.00881684,49.83168100,0.48345620,0.33621626,RUN,2,0,1,1,0,4,0,0.96369520,0.50000000,0.70338363,0.25000000,0.53952366,0.20000000,0.00000000,0.00000000,0.20000000,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,0.35398516,0.70338363,0.50000000,1.00000000,4,4,0,1,1,1,1,1.00000000,0,0,1.00000000,0,0,0,0,1.00000000,1,1,1.00000000,0.00000000,NONE,0.86666667,0.75000000,0.33333333,0.00000000,0.00000000,0,2,3,0,1,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.20000000,0.20000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
17,orchestra,0.39743590,0.44371431,0.44371431,1,0.78368262,0.10517820,49.80311300,0.48344980,0.33927724,RUN,4,0,0,0,0,4,0,0.51454927,1.00000000,1.00000000,0.50000000,0.71219553,0.20000000,0.00000000,0.00000000,0.20000000,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,1.00000000,1.00000000,1.00000000,1.00000000,4,4,0,0,0,0,0,1.00000000,0,0,1.00000000,0,0,0,0,1.00000000,0,0,1.00000000,0.00000000,NONE,0.93333333,0.50000000,0.50000000,0.00000000,0.00000000,2,0,2,0,1,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.20000000,0.20000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
18,orchestra,0.46153846,0.45369583,0.45369583,1,0.99302420,0.01782416,49.84129900,0.48344204,0.34539030,RUN,4,0,0,0,0,4,0,0.92468987,1.00000000,1.00000000,1.00000000,0.98061611,0.20000000,0.00000000,0.00000000,0.20000000,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,1.00000000,1.00000000,1.00000000,1.00000000,4,4,0,0,0,0,0,1.00000000,0,0,1.00000000,0,0,0,0,1.00000000,0,0,1.00000000,0.00000000,NONE,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-1,-1,0,0,0,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.20000000,0.20000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
19,orchestra,0.50649351,0.48326253,0.48326253,1,0.94042618,0.05279767,49.79272700,0.48344204,0.35344546,RUN,2,0,1,0,1,4,0,0.76138753,0.50000000,0.35398516,0.50000000,0.50948653,0.20000000,0.00000000,0.00000000,0.20000000,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,0.35398516,0.35398516,0.50000000,1.00000000,4,4,0,1,1,1,1,1.00000000,0,0,1.00000000,0,0,1,1,1.00000000,0,0,1.00000000,0.00000000,NONE,0.93333333,0.50000000,0.50000000,0.00000000,0.00000000,0,2,2,0,1,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.20000000,0.20000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
20,orchestra,0.45121951,0.46531844,0.46531844,1,0.97763038,0.03204302,49.84198700,0.48340609,0.35833417,RUN,2,0,1,0,1,4,0,0.42707498,0.00000000,0.35398516,0.50000000,0.00000000,0.20000000,0.00000000,0.00000000,0.20000000,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,4,0,orchestra.paper_cpu.metrics/v7,0.35398516,0.35398516,0.00000000,0.00000000,0,0,0,0,0,0,0,1.00000000,0,0,1.00000000,0,0,0,0,1.00000000,0,0,1.00000000,0.00000000,NONE,0.93333333,0.50000000,0.50000000,0.00000000,0.00000000,0,2,2,0,1,0,0,0,1,0,0,0,NORMAL,NORMAL,NONE,1,0,1,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.20000000,0.20000000,0.00000000,0.00000000,0.00000000,0.00000000,0,1,1,TRAIN,1,0,0,0,FRAME_INVALID,1,0,0,SKIP,OK,0000000000000000,1,7
