scheduler,workload,workers,duration_s,elapsed_ms,ctx_delta,accepted,dispatched,running,effective,owned,notes
cfs,cpu,1,2,1979,20323,0,0,0,0,n/a,completed
cfs,cpu,2,2,1816,12842,0,0,0,0,n/a,completed
cfs,cpu,4,2,1871,12022,0,0,0,0,n/a,completed
