timestamp,zone,type,temp_mC,critical_mC
2026-08-28T21:52:10+05:30,thermal_zone0,acpitz,48000,128000
2026-08-28T21:52:10+05:30,thermal_zone1,pch_cannonlake,53000,120000
2026-08-28T21:52:10+05:30,thermal_zone2,INT3400 Thermal,20000,0
2026-08-28T21:52:10+05:30,thermal_zone3,SEN1,1050,103050
2026-08-28T21:52:10+05:30,thermal_zone4,SEN2,40050,80050
2026-08-28T21:52:10+05:30,thermal_zone5,B0D4,48050,110050
2026-08-28T21:52:10+05:30,thermal_zone6,iwlwifi_1,54000,0
2026-08-28T21:52:10+05:30,thermal_zone7,x86_pkg_temp,80000,0
2026-08-28T21:52:11+05:30,thermal_zone0,acpitz,48000,128000
2026-08-28T21:52:11+05:30,thermal_zone1,pch_cannonlake,53000,120000
2026-08-28T21:52:11+05:30,thermal_zone2,INT3400 Thermal,20000,0
2026-08-28T21:52:11+05:30,thermal_zone3,SEN1,1050,103050
2026-08-28T21:52:11+05:30,thermal_zone4,SEN2,40050,80050
2026-08-28T21:52:11+05:30,thermal_zone5,B0D4,48050,110050
2026-08-28T21:52:11+05:30,thermal_zone6,iwlwifi_1,54000,0
2026-08-28T21:52:11+05:30,thermal_zone7,x86_pkg_temp,97000,0
2026-08-28T21:52:13+05:30,thermal_zone0,acpitz,48000,128000
2026-08-28T21:52:13+05:30,thermal_zone1,pch_cannonlake,54000,120000
2026-08-28T21:52:13+05:30,thermal_zone2,INT3400 Thermal,20000,0
2026-08-28T21:52:13+05:30,thermal_zone3,SEN1,1050,103050
2026-08-28T21:52:13+05:30,thermal_zone4,SEN2,40050,80050
2026-08-28T21:52:13+05:30,thermal_zone5,B0D4,48050,110050
2026-08-28T21:52:13+05:30,thermal_zone6,iwlwifi_1,56000,0
2026-08-28T21:52:13+05:30,thermal_zone7,x86_pkg_temp,68000,0
2026-08-28T21:52:14+05:30,thermal_zone0,acpitz,48000,128000
2026-08-28T21:52:14+05:30,thermal_zone1,pch_cannonlake,54000,120000
2026-08-28T21:52:14+05:30,thermal_zone2,INT3400 Thermal,20000,0
2026-08-28T21:52:14+05:30,thermal_zone3,SEN1,1050,103050
2026-08-28T21:52:14+05:30,thermal_zone4,SEN2,40050,80050
2026-08-28T21:52:14+05:30,thermal_zone5,B0D4,48050,110050
2026-08-28T21:52:14+05:30,thermal_zone6,iwlwifi_1,55000,0
2026-08-28T21:52:14+05:30,thermal_zone7,x86_pkg_temp,64000,0
2026-08-28T21:52:15+05:30,thermal_zone0,acpitz,48000,128000
2026-08-28T21:52:15+05:30,thermal_zone1,pch_cannonlake,55000,120000
2026-08-28T21:52:15+05:30,thermal_zone2,INT3400 Thermal,20000,0
2026-08-28T21:52:15+05:30,thermal_zone3,SEN1,1050,103050
2026-08-28T21:52:15+05:30,thermal_zone4,SEN2,40050,80050
2026-08-28T21:52:15+05:30,thermal_zone5,B0D4,48050,110050
2026-08-28T21:52:15+05:30,thermal_zone6,iwlwifi_1,55000,0
2026-08-28T21:52:15+05:30,thermal_zone7,x86_pkg_temp,62000,0
2026-08-28T21:52:17+05:30,thermal_zone0,acpitz,48000,128000
2026-08-28T21:52:17+05:30,thermal_zone1,pch_cannonlake,55000,120000
2026-08-28T21:52:17+05:30,thermal_zone2,INT3400 Thermal,20000,0
2026-08-28T21:52:17+05:30,thermal_zone3,SEN1,1050,103050
2026-08-28T21:52:17+05:30,thermal_zone4,SEN2,40050,80050
2026-08-28T21:52:17+05:30,thermal_zone5,B0D4,48050,110050
2026-08-28T21:52:17+05:30,thermal_zone6,iwlwifi_1,55000,0
2026-08-28T21:52:17+05:30,thermal_zone7,x86_pkg_temp,64000,0
2026-08-28T21:52:18+05:30,thermal_zone0,acpitz,48000,128000
2026-08-28T21:52:18+05:30,thermal_zone1,pch_cannonlake,53000,120000
2026-08-28T21:52:18+05:30,thermal_zone2,INT3400 Thermal,20000,0
2026-08-28T21:52:18+05:30,thermal_zone3,SEN1,1050,103050
2026-08-28T21:52:18+05:30,thermal_zone4,SEN2,40050,80050
2026-08-28T21:52:18+05:30,thermal_zone5,B0D4,48050,110050
2026-08-28T21:52:18+05:30,thermal_zone6,iwlwifi_1,56000,0
2026-08-28T21:52:18+05:30,thermal_zone7,x86_pkg_temp,64000,0
2026-08-28T21:52:19+05:30,thermal_zone0,acpitz,48000,128000
2026-08-28T21:52:19+05:30,thermal_zone1,pch_cannonlake,54000,120000
2026-08-28T21:52:19+05:30,thermal_zone2,INT3400 Thermal,20000,0
2026-08-28T21:52:19+05:30,thermal_zone3,SEN1,1050,103050
2026-08-28T21:52:19+05:30,thermal_zone4,SEN2,40050,80050
2026-08-28T21:52:19+05:30,thermal_zone5,B0D4,48050,110050
2026-08-28T21:52:19+05:30,thermal_zone6,iwlwifi_1,55000,0
2026-08-28T21:52:19+05:30,thermal_zone7,x86_pkg_temp,64000,0
2026-08-28T21:52:20+05:30,thermal_zone0,acpitz,48000,128000
2026-08-28T21:52:20+05:30,thermal_zone1,pch_cannonlake,54000,120000
2026-08-28T21:52:20+05:30,thermal_zone2,INT3400 Thermal,20000,0
2026-08-28T21:52:20+05:30,thermal_zone3,SEN1,1050,103050
2026-08-28T21:52:20+05:30,thermal_zone4,SEN2,40050,80050
2026-08-28T21:52:20+05:30,thermal_zone5,B0D4,48050,110050
2026-08-28T21:52:20+05:30,thermal_zone6,iwlwifi_1,55000,0
2026-08-28T21:52:20+05:30,thermal_zone7,x86_pkg_temp,63000,0
2026-08-28T21:52:22+05:30,thermal_zone0,acpitz,48000,128000
2026-08-28T21:52:22+05:30,thermal_zone1,pch_cannonlake,55000,120000
2026-08-28T21:52:22+05:30,thermal_zone2,INT3400 Thermal,20000,0
2026-08-28T21:52:22+05:30,thermal_zone3,SEN1,1050,103050
2026-08-28T21:52:22+05:30,thermal_zone4,SEN2,40050,80050
2026-08-28T21:52:22+05:30,thermal_zone5,B0D4,48050,110050
2026-08-28T21:52:22+05:30,thermal_zone6,iwlwifi_1,55000,0
2026-08-28T21:52:22+05:30,thermal_zone7,x86_pkg_temp,64000,0
2026-08-28T21:52:23+05:30,thermal_zone0,acpitz,48000,128000
2026-08-28T21:52:23+05:30,thermal_zone1,pch_cannonlake,54000,120000
